participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
19,stimuli/tones/FlatIEC-27dB.wav,0.75,203,noResp,NA,B_3,stimuli/Baron6dB/070100.wav,stimuli/Arrow/040103.wav,stimuli/Eagle/060102.wav,NA,0,-27dB,Flat,R_1,0,0,1,0,0
19,stimuli/tones/FlatIEC-21dB.wav,2,204,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Arrow/040002.wav,stimuli/Laker/020101.wav,NA,0,-21dB,Flat,B_3,1,0,1,0,0
19,stimuli/tones/silence.wav,1.25,205,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Tiger/050003.wav,stimuli/Charlie/000103.wav,NA,1,silence,silence,G_3,1,0,0,1,0
19,stimuli/tones/silence.wav,0.75,206,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Tiger/050203.wav,stimuli/Eagle/060201.wav,NA,1,silence,silence,B_2,1,0,0,1,0
19,stimuli/tones/PercTri-33dB.wav,1.25,207,space,2.7309,G_2,stimuli/Baron6dB/070301.wav,stimuli/Laker/020201.wav,stimuli/Arrow/040102.wav,NA,1,-33dB,PercTri,G_2,1,1,0,0,0
19,stimuli/tones/FlatIEC-18dB.wav,2,208,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Ringo/010302.wav,stimuli/Laker/020200.wav,NA,0,-18dB,Flat,B_4,1,0,1,0,0
19,stimuli/tones/silence.wav,0.75,209,space,0.3147,G_2,stimuli/Baron6dB/070301.wav,stimuli/Hopper/030203.wav,stimuli/Hopper/030002.wav,NA,0,silence,silence,G_2,1,0,0,0,1
19,stimuli/tones/silence.wav,2,210,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Charlie/000100.wav,stimuli/Hopper/030003.wav,NA,1,silence,silence,R_3,1,0,0,1,0
19,stimuli/tones/silence.wav,0.75,211,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Arrow/040102.wav,stimuli/Laker/020000.wav,NA,1,silence,silence,B_2,1,0,0,1,0
19,stimuli/tones/PercTri-30dB.wav,2,212,space,4.0278,W_3,stimuli/Baron6dB/070202.wav,stimuli/Laker/020200.wav,stimuli/Ringo/010203.wav,NA,1,-30dB,PercTri,W_3,1,1,0,0,0
19,stimuli/tones/PercTri-21dB.wav,2,213,space,2.6607,R_2,stimuli/Baron6dB/070101.wav,stimuli/Hopper/030302.wav,stimuli/Ringo/010200.wav,NA,1,-21dB,PercTri,R_2,1,1,0,0,0
19,stimuli/tones/PercTri-27dB.wav,0.75,214,space,2.0862,W_4,stimuli/Baron6dB/070203.wav,stimuli/Hopper/030101.wav,stimuli/Laker/020203.wav,NA,1,-27dB,PercTri,W_4,1,1,0,0,0
19,stimuli/tones/PercTri-27dB.wav,1.25,215,space,2.1612,G_1,stimuli/Baron6dB/070300.wav,stimuli/Laker/020302.wav,stimuli/Eagle/060301.wav,NA,1,-27dB,PercTri,G_1,1,1,0,0,0
2,stimuli/tones/silence.wav,0.75,0,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Tiger/050201.wav,stimuli/Ringo/010001.wav,NA,1,silence,silence,R_4,1,0,0,1,0
2,stimuli/tones/silence.wav,2,1,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Tiger/050001.wav,stimuli/Ringo/010301.wav,NA,1,silence,silence,W_2,1,0,0,1,0
2,stimuli/tones/silence.wav,2,2,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Charlie/000000.wav,stimuli/Laker/020003.wav,NA,1,silence,silence,W_1,1,0,0,1,0
2,stimuli/tones/silence.wav,0.75,3,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Laker/020302.wav,stimuli/Arrow/040102.wav,NA,1,silence,silence,R_1,1,0,0,1,0
2,stimuli/tones/silence.wav,2,4,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Arrow/040303.wav,stimuli/Laker/020000.wav,NA,1,silence,silence,B_3,1,0,0,1,0
2,stimuli/tones/silence.wav,0.75,5,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Laker/020101.wav,stimuli/Tiger/050201.wav,NA,1,silence,silence,R_3,1,0,0,1,0
2,stimuli/tones/silence.wav,2,6,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Charlie/000001.wav,stimuli/Tiger/050203.wav,NA,1,silence,silence,G_3,1,0,0,1,0
2,stimuli/tones/FlatIEC-24dB.wav,2,7,space,2.582,W_3,stimuli/Baron6dB/070202.wav,stimuli/Laker/020002.wav,stimuli/Eagle/060103.wav,NA,1,-24dB,Flat,W_3,1,1,0,0,0
