participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
F2024_19,stimuli/tones/silence.wav,2,45,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Arrow/040102.wav,stimuli/Laker/020101.wav,NA,1,silence,silence,W_2,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,2,46,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Charlie/000302.wav,stimuli/Eagle/060101.wav,NA,1,silence,silence,R_4,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,1.25,47,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Eagle/060101.wav,stimuli/Arrow/040102.wav,NA,1,silence,silence,B_2,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,2,48,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Eagle/060002.wav,stimuli/Tiger/050200.wav,NA,1,silence,silence,G_3,1,0,0,1,0
F2024_19,stimuli/tones/FlatIEC-24dB.wav,2,49,noResp,NA,W_1,stimuli/Baron6dB/070300.wav,stimuli/Tiger/050101.wav,stimuli/Eagle/060001.wav,NA,0,-24dB,Flat,G_1,0,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-33dB.wav,1.25,50,noResp,NA,W_3,stimuli/Baron6dB/070202.wav,stimuli/Ringo/010103.wav,stimuli/Arrow/040000.wav,NA,0,-33dB,Flat,W_3,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-18dB.wav,0.75,51,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Ringo/010000.wav,stimuli/Hopper/030302.wav,NA,0,-18dB,Flat,B_4,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-27dB.wav,1.25,52,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Laker/020000.wav,stimuli/Charlie/000001.wav,NA,0,-27dB,Flat,R_3,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,0.75,53,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Tiger/050001.wav,stimuli/Arrow/040101.wav,NA,1,silence,silence,W_2,1,0,0,1,0
F2024_19,stimuli/tones/silence.wav,2,54,noResp,NA,B_4,stimuli/Baron6dB/070303.wav,stimuli/Arrow/040000.wav,stimuli/Charlie/000202.wav,NA,1,silence,silence,G_4,0,0,0,1,0
F2024_19,stimuli/tones/silence.wav,1.25,55,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Eagle/060001.wav,stimuli/Ringo/010103.wav,NA,1,silence,silence,R_4,1,0,0,1,0
F2024_19,stimuli/tones/FlatIEC-27dB.wav,2,56,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Tiger/050100.wav,stimuli/Charlie/000102.wav,NA,0,-27dB,Flat,W_4,1,0,1,0,0
F2024_19,stimuli/tones/PercTri-33dB.wav,0.75,57,noResp,NA,B_1,stimuli/Baron6dB/070100.wav,stimuli/Hopper/030003.wav,stimuli/Laker/020302.wav,NA,0,-33dB,PercTri,R_1,0,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-33dB.wav,2,58,noResp,NA,G_2,stimuli/Baron6dB/070301.wav,stimuli/Laker/020202.wav,stimuli/Eagle/060103.wav,NA,0,-33dB,Flat,G_2,1,0,1,0,0
F2024_19,stimuli/tones/PercTri-27dB.wav,0.75,59,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Ringo/010302.wav,stimuli/Tiger/050100.wav,NA,0,-27dB,PercTri,B_1,1,0,1,0,0
F2024_19,stimuli/tones/PercTri-30dB.wav,0.75,60,noResp,NA,B_3,stimuli/Baron6dB/070002.wav,stimuli/Eagle/060300.wav,stimuli/Laker/020000.wav,NA,0,-30dB,PercTri,B_3,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-33dB.wav,0.75,61,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Arrow/040001.wav,stimuli/Hopper/030100.wav,NA,0,-33dB,Flat,B_2,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-21dB.wav,0.75,62,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Laker/020101.wav,stimuli/Hopper/030000.wav,NA,0,-21dB,Flat,R_2,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-21dB.wav,1.25,63,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Ringo/010102.wav,stimuli/Tiger/050301.wav,NA,0,-21dB,Flat,W_1,1,0,1,0,0
F2024_19,stimuli/tones/PercTri-18dB.wav,0.75,64,noResp,NA,G_1,stimuli/Baron6dB/070100.wav,stimuli/Eagle/060301.wav,stimuli/Eagle/060300.wav,NA,0,-18dB,PercTri,R_1,0,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-27dB.wav,2,65,noResp,NA,R_2,stimuli/Baron6dB/070101.wav,stimuli/Eagle/060302.wav,stimuli/Hopper/030202.wav,NA,0,-27dB,Flat,R_2,1,0,1,0,0
F2024_19,stimuli/tones/silence.wav,2,66,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Tiger/050300.wav,stimuli/Tiger/050001.wav,NA,1,silence,silence,R_4,1,0,0,1,0
F2024_19,stimuli/tones/PercTri-30dB.wav,2,67,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Hopper/030002.wav,stimuli/Ringo/010000.wav,NA,0,-30dB,PercTri,B_4,1,0,1,0,0
F2024_19,stimuli/tones/FlatIEC-18dB.wav,2,68,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Eagle/060201.wav,stimuli/Hopper/030203.wav,NA,0,-18dB,Flat,W_2,1,0,1,0,0
